id,nome,siglaUf,siglaPartido,idLegislatura
73586,Júlio Delgado,MG,PSB,56
74253,Julio Lopes,RJ,PP,56
204520,Junio Amaral,MG,PSL,56
204497,Júnior Ferrari,PA,PSD,56
204574,Junior Lourenço,MA,PL,56
204550,Júnior Mano,CE,PL,56
178886,Juscelino Filho,MA,DEM,56
204536,Kim Kataguiri,SP,DEM,56
151208,Laercio Oliveira,SE,PP,56
141478,Laerte Bessa,DF,PL,56
98057,Lafayette de Andrada,MG,REPUBLICANOS,56
160534,Lauriete,ES,PSC,56
178832,Leandre,PR,PV,56
204375,Leda Sadala,AP,AVANTE,56
178825,LEO DE BRITO,AC,PT,56
204359,Léo Moraes,RO,PODE,56
204547,Léo Motta,MG,PSL,56
74156,Leonardo Monteiro,MG,PT,56
74254,Leonardo Picciani,RJ,MDB,56
74299,Leônidas Cristino,CE,PDT,56
92102,Leur Lomanto Júnior,BA,DEM,56
139285,Lídice da Mata,BA,PSB,56
74585,Lincoln Portela,MG,PL,56
204405,Liziane Bayer,RS,PSB,56
204382,Loester Trutis,MS,PSL,56
196358,Lourival Gomes,RJ,PSL,56
204523,Lucas Gonzalez,MG,NOVO,56
204404,Lucas Redecker,RS,PSDB,56
178879,Lucas Vergilio,GO,SOLIDARIEDADE,56
74478,Luciano Bivar,PE,PSL,56
178931,Luciano Ducci,PR,PSB,56
178954,Lucio Mosquini,RO,MDB,56
204381,Luis Miranda,DF,DEM,56
160510,Luis Tibé,MG,AVANTE,56
204410,Luisa Canziani,PR,PTB,56
204448,Luiz Antônio Corrêa,RJ,PL,56
204485,Luiz Carlos Motta,SP,PL,56
204455,Luiz Lima,RJ,PSL,56
162332,Luiz Nishimori,PR,PL,56
204526,Luiz Philippe de Orleans e Bragança,SP,PSL,56
74784,Luiza Erundina,SP,PSOL,56
204418,Luizão Goulart,PR,REPUBLICANOS,56
178866,Luizianne Lins,CE,PT,56
166402,Magda Mofatto,GO,PL,56
204458,Major Fabiana,RJ,PSL,56
204471,Mara Rocha,AC,PSDB,56
156190,Marcel van Hattem,RS,NOVO,56
179000,Marcelo Álvaro Antônio,MG,PSL,56
146788,Marcelo Aro,MG,PP,56
205863,Marcelo Brum,RS,PSL,56
76874,Marcelo Freixo,RJ,PSB,56
133810,Marcelo Moraes,RS,PTB,56
204558,Marcelo Nilo,BA,PSB,56
204556,Marcelo Ramos,AM,PL,56
178983,Marcio Alvino,SP,PL,56
179001,Márcio Biolchi,RS,MDB,56
204452,Márcio Labre,RJ,PSL,56
150418,Márcio Marinho,BA,REPUBLICANOS,56
204522,Marco Bertaiolli,SP,PSD,56
160535,Marcon,RS,PT,56
204431,Marcos Aurélio Sampaio,PI,MDB,56
204506,Marcos Pereira,SP,REPUBLICANOS,56
178943,Marcos Soares,RJ,DEM,56
204430,Margarete Coelho,PI,PP,56
74398,Maria do Rosário,RS,PT,56
204540,Maria Rosas,SP,REPUBLICANOS,56
178956,Mariana Carvalho,RO,PSDB,56
204428,Marília Arraes,PE,PT,56
204432,Marina Santos,PI,PL,56
74158,Mário Heringer,MG,PDT,56
178858,Mário Negromonte Jr.,BA,PP,56
204403,Marlon Santos,RS,PDT,56
204566,Marreca Filho,MA,PATRIOTA,56
178843,Marx Beltrão,AL,PSD,56
75431,Maurício Dziedricki,RS,PTB,56
74749,Mauro Lopes,MG,MDB,56
141508,Mauro Nazif,RO,PSB,56
188097,Merlong Solano,PI,PT,56
178985,Miguel Lombardi,SP,PL,56
92172,Milton Coelho,PE,PSB,56
178895,Misael Varella,MG,PSD,56
178997,Moses Rodrigues,CE,MDB,56
204453,Natália Bonavides,RN,PT,56
204449,Nelson Barbudo,MT,PSL,56
204415,Nereu Crispim,RS,PSL,56
146307,Neri Geller,MT,PP,56
74165,Neucimar Fraga,ES,PSD,56
178896,Newton Cardoso Jr,MG,MDB,56
204479,Nicoletti,RR,PSL,56
74352,Nilson Pinto,PA,PSDB,56
178986,Nilto Tatto,SP,PT,56
194260,Nivaldo Albuquerque,AL,PTB,56
66179,Norma Ayub,ES,DEM,56
74159,Odair Cunha,MG,PT,56
204498,Olival Marques,PA,DEM,56
178987,Orlando Silva,SP,PCdoB,56
204363,Osires Damaso,TO,PSC,56
