id,data,siglaOrgao,aprovacao
2194033-4,2019-04-16,CREDN,1
2193943-4,2019-04-16,CREDN,1
2197949-2,2019-04-16,CVT,1
2197069-3,2019-04-16,CVT,1
2197043-3,2019-04-16,CVT,1
2196975-3,2019-04-16,CVT,1
2197403-3,2019-04-16,CVT,1
2193933-4,2019-04-16,CREDN,1
2196475-3,2019-04-16,CVT,1
2196449-3,2019-04-16,CVT,1
2196198-3,2019-04-16,CVT,1
2195476-4,2019-04-16,CVT,1
2195383-4,2019-04-16,CVT,1
2195380-4,2019-04-16,CVT,1
2196879-2,2019-04-16,CINDRA,1
2196878-2,2019-04-16,CINDRA,1
2195798-3,2019-04-16,CVT,1
2195342-4,2019-04-16,CVT,1
2195117-4,2019-04-16,CVT,1
2198026-2,2019-04-16,CINDRA,1
2197282-2,2019-04-16,CINDRA,1
2197195-2,2019-04-16,CINDRA,1
2197807-2,2019-04-16,CVT,1
2195094-4,2019-04-16,CVT,1
2198094-2,2019-04-16,CSSF,1
2197987-2,2019-04-16,CSSF,1
2197924-2,2019-04-16,CSSF,1
2197452-2,2019-04-16,CSSF,1
2163323-48,2019-04-16,CE,1
2195084-4,2019-04-16,CVT,1
2195004-3,2019-04-16,CVT,1
2194992-4,2019-04-16,CVT,1
2197865-2,2019-04-16,CE,1
2181907-34,2019-04-16,CCULT,1
2198106-2,2019-04-16,CE,1
2198054-2,2019-04-16,CE,1
574182-74,2019-04-16,CCULT,1
2197290-3,2019-04-16,CVT,1
2198052-2,2019-04-16,CE,1
2198053-2,2019-04-16,CE,1
2194568-4,2019-04-16,CVT,1
2197767-3,2019-04-16,CINDRA,1
2197417-2,2019-04-16,CINDRA,1
2197653-2,2019-04-16,CE,1
495674-85,2019-04-16,CCULT,1
2198051-2,2019-04-16,CE,1
2190328-16,2019-04-16,CCTCI,1
2190321-16,2019-04-16,CCTCI,1
2190318-16,2019-04-16,CCTCI,1
2190302-18,2019-04-16,CCTCI,1
2190297-18,2019-04-16,CCTCI,1
2190296-19,2019-04-16,CCTCI,1
2190292-18,2019-04-16,CCTCI,1
2190258-18,2019-04-16,CCTCI,1
2190256-18,2019-04-16,CCTCI,1
2190251-18,2019-04-16,CCTCI,1
2190248-18,2019-04-16,CCTCI,1
2190246-19,2019-04-16,CCTCI,1
2190244-18,2019-04-16,CCTCI,1
2190242-18,2019-04-16,CCTCI,1
2190241-18,2019-04-16,CCTCI,1
2190229-18,2019-04-16,CCTCI,1
2190222-18,2019-04-16,CCTCI,1
2190221-18,2019-04-16,CCTCI,1
2190220-18,2019-04-16,CCTCI,1
2190218-18,2019-04-16,CCTCI,1
2189779-18,2019-04-16,CCTCI,1
2189777-18,2019-04-16,CCTCI,1
2189775-18,2019-04-16,CCTCI,1
2188166-18,2019-04-16,CCTCI,1
2188165-18,2019-04-16,CCTCI,1
2188156-19,2019-04-16,CCTCI,1
2188155-18,2019-04-16,CCTCI,1
2188154-18,2019-04-16,CCTCI,1
2186563-20,2019-04-16,CCTCI,1
2186559-20,2019-04-16,CCTCI,1
2186471-20,2019-04-16,CCTCI,1
2186467-20,2019-04-16,CCTCI,1
2186466-20,2019-04-16,CCTCI,1
2186465-20,2019-04-16,CCTCI,1
2186463-20,2019-04-16,CCTCI,1
2185905-22,2019-04-16,CCTCI,1
2185904-20,2019-04-16,CCTCI,1
2185900-20,2019-04-16,CCTCI,1
2185897-20,2019-04-16,CCTCI,1
2185896-20,2019-04-16,CCTCI,1
2185895-20,2019-04-16,CCTCI,1
2185891-21,2019-04-16,CCTCI,1
2185889-20,2019-04-16,CCTCI,1
2185888-22,2019-04-16,CCTCI,1
2185887-24,2019-04-16,CCTCI,1
2185213-20,2019-04-16,CCTCI,1
2185210-20,2019-04-16,CCTCI,1
2185206-20,2019-04-16,CCTCI,1
2185205-20,2019-04-16,CCTCI,1
2185200-23,2019-04-16,CCTCI,1
2185169-23,2019-04-16,CCTCI,1
2183968-20,2019-04-16,CCTCI,1
2183905-20,2019-04-16,CCTCI,1
2198107-4,2019-04-16,CCTCI,1
2191635-23,2019-04-16,CCULT,1
2197923-2,2019-04-16,CCULT,1
2194052-4,2019-04-16,CVT,1
2197979-4,2019-04-16,CCTCI,1
2197758-4,2019-04-16,CCTCI,1
2198002-2,2019-04-16,CE,1
2193862-4,2019-04-16,CVT,1
2197959-2,2019-04-16,CE,1
2197757-3,2019-04-16,CCTCI,1
2198097-2,2019-04-16,CFT,1
2196523-4,2019-04-16,CCTCI,1
2196444-2,2019-04-16,CINDRA,1
2196522-4,2019-04-16,CCTCI,1
2197410-3,2019-04-16,CFT,1
2197676-2,2019-04-16,CDU,1
2197572-4,2019-04-16,CDU,1
2197457-2,2019-04-16,CDU,1
2197313-4,2019-04-16,CDU,1
2197063-2,2019-04-16,CDU,1
2197160-26,2019-04-15,CCJC,1
2197197-4,2019-04-10,CPD,1
2197844-2,2019-04-11,GTPENAL,1
2153467-52,2019-04-11,PLEN,1
2153467-50,2019-04-11,PLEN,1
1672508-45,2019-04-11,PLEN,1
1672508-43,2019-04-11,PLEN,1
2162207-56,2019-04-11,PLEN,1
2162207-54,2019-04-11,PLEN,1
2193681-34,2019-04-11,PLEN,1
2193681-31,2019-04-11,PLEN,1
2197701-2,2019-04-11,GTPENAL,1
2197491-2,2019-04-11,GTPENAL,1
2197253-2,2019-04-11,GTPENAL,1
2196938-2,2019-04-11,GTPENAL,1
2196842-2,2019-04-11,GTPENAL,1
1598532-92,2019-04-10,PLEN,1
1598536-57,2019-04-10,PLEN,1
2192367-58,2019-04-10,PLEN,1
2192367-56,2019-04-10,PLEN,1
2192367-51,2019-04-10,PLEN,0
2193767-23,2019-04-10,PLEN,1
2193767-22,2019-04-10,PLEN,1
2194543-10,2019-04-10,PLEN,1
2193681-21,2019-04-10,PLEN,1
2193681-20,2019-04-10,PLEN,1
2194574-8,2019-04-10,PLEN,1
2194939-6,2019-04-10,PLEN,1
2186326-7,2019-04-10,PLEN,1
2187275-50,2019-04-10,PLEN,1
2187275-48,2019-04-10,PLEN,0
2187275-45,2019-04-10,PLEN,0
2187275-42,2019-04-10,PLEN,1
2187275-41,2019-04-10,PLEN,0
533502-113,2019-04-10,CTASP,1
2187275-38,2019-04-10,PLEN,1
2197355-2,2019-04-10,CEXVENEZ,1
2197353-2,2019-04-10,CEXVENEZ,1
2197352-2,2019-04-10,CEXVENEZ,1
2197351-2,2019-04-10,CEXVENEZ,1
2197350-2,2019-04-10,CEXVENEZ,1
